,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1448,sheep,1,male,0,Garbatulla,Isiolo,0.062,0.052,0.057,9.076433121,Negative,0,young_adults,2,185,185,185,329,0.205726996,10.42099953,0.378456473,tree cover,1630,329,110,1.262928059,2.430418867,-0.312678212,26.18422222,31.39389728,29.20188077,34.26606202,68.87147784,47.31132709,10.74793531,28.85045904,21.44983263
1449,goats,3,female,1,Garbatulla,Isiolo,0.098,0.104,0.101,13.998614,Negative,0,adults,1,181,181,181,301,0.090294197,7.509180069,0.421628177,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38854663,31.48873068,29.33642533,33.68397611,68.51041483,46.7893078,10.97488155,29.26854345,21.81612019
1450,goats,3,female,1,Garbatulla,Isiolo,0.047,0.058,0.0525,7.276507277,Negative,0,adults,1,181,181,181,301,0.090294197,7.509180069,0.421628177,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38854663,31.48873068,29.33642533,33.68397611,68.51041483,46.7893078,10.97488155,29.26854345,21.81612019
1451,goats,3,female,1,Garbatulla,Isiolo,0.043,0.043,0.043,4.823331464,Negative,0,adults,1,181,181,181,301,0.090294197,7.509180069,0.421628177,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38854663,31.48873068,29.33642533,33.68397611,68.51041483,46.7893078,10.97488155,29.26854345,21.81612019
1452,goats,3,female,1,Garbatulla,Isiolo,0.044,0.048,0.046,6.375606376,Negative,0,adults,1,181,181,181,301,0.090294197,7.509180069,0.421628177,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38854663,31.48873068,29.33642533,33.68397611,68.51041483,46.7893078,10.97488155,29.26854345,21.81612019
1453,goats,3,male,0,Garbatulla,Isiolo,0.049,0.052,0.0505,5.664610208,Negative,0,calves,0,212,212,212,296,0.127694994,7.509180069,0.522864759,shrub,1554,296,40,1.268840809,2.446320598,-0.318906841,26.41542624,31.48799275,29.34797911,33.60267841,68.37364191,46.74072535,11.04691259,29.32431558,21.84957834
1454,goats,3,female,1,Garbatulla,Isiolo,0.076,0.08,0.078,8.749298934,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1455,goats,3,female,1,Garbatulla,Isiolo,0.083,0.079,0.081,9.085810432,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1456,goats,3,female,1,Garbatulla,Isiolo,0.309,0.312,0.3105,34.82893999,Positive,1,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1457,goats,3,male,0,Garbatulla,Isiolo,0.05,0.051,0.0505,5.664610208,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1458,goats,3,male,0,Garbatulla,Isiolo,0.044,0.045,0.0445,4.991587213,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1459,sheep,1,female,1,Garbatulla,Isiolo,0.055,0.04,0.0475,6.771204562,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1460,sheep,1,female,1,Garbatulla,Isiolo,0.047,0.043,0.045,6.414825374,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
1461,sheep,1,female,1,Garbatulla,Isiolo,0.064,0.053,0.0585,8.339272986,Negative,0,adults,1,180,180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1462,sheep,1,male,0,Garbatulla,Isiolo,0.074,0.053,0.0635,9.052031361,Negative,0,adults,1,180,180,180,301,0.090294197,7.509180069,0.634399295,shrub,1596,301,180,1.268840809,2.446320598,-0.318906841,26.38844669,31.48816759,29.33246248,33.67198494,68.60499416,46.77424598,10.92767135,29.26437836,21.81771266
